Provincia;Potencia kWh;Mes
Cádiz;112.19846153846153;January
Cádiz;112.97076923076922;February
Cádiz;137.28076923076924;March
Cádiz;143.98538461538462;April
Cádiz;158.72384615384615;May
Cádiz;157.84846153846155;June
Cádiz;168.12384615384616;July
Cádiz;165.18384615384613;August
Cádiz;146.3553846153846;September
Cádiz;131.30923076923077;October
Cádiz;108.55615384615385;November
Cádiz;105.3076923076923;December
Málaga;107.06285714285715;January
Málaga;110.18071428571429;February
Málaga;135.25071428571428;March
Málaga;139.9557142857143;April
Málaga;157.09;May
Málaga;158.37142857142857;June
Málaga;167.20857142857145;July
Málaga;164.4042857142857;August
Málaga;144.50071428571428;September
Málaga;128.7292857142857;October
Málaga;103.97285714285714;November
Málaga;97.91285714285713;December
Granada;114.50619047619048;January
Granada;116.96952380952382;February
Granada;141.86380952380952;March
Granada;144.32333333333332;April
Granada;156.35619047619048;May
Granada;157.28380952380954;June
Granada;166.39333333333335;July
Granada;162.7657142857143;August
Granada;145.5404761904762;September
Granada;134.5;October
Granada;111.3947619047619;November
Granada;107.98095238095237;December
Almería;121.23866666666666;January
Almería;120.586;February
Almería;144.93133333333333;March
Almería;147.326;April
Almería;158.2493333333333;May
Almería;158.828;June
Almería;165.904;July
Almería;162.38866666666667;August
Almería;143.44799999999998;September
Almería;133.66666666666666;October
Almería;114.53066666666668;November
Almería;114.64333333333335;December
Sevilla;116.61863636363637;January
Sevilla;117.15772727272726;February
Sevilla;140.36818181818182;March
Sevilla;142.74954545454545;April
Sevilla;155.55363636363637;May
Sevilla;154.90818181818182;June
Sevilla;165.78363636363636;July
Sevilla;163.935;August
Sevilla;145.92;September
Sevilla;131.84181818181818;October
Sevilla;111.45272727272727;November
Sevilla;110.35;December
Córdoba;111.01833333333333;January
Córdoba;113.51916666666666;February
Córdoba;137.0425;March
Córdoba;139.6575;April
Córdoba;153.3475;May
Córdoba;154.28541666666666;June
Córdoba;166.47125;July
Córdoba;164.2525;August
Córdoba;143.94;September
Córdoba;129.66875000000002;October
Córdoba;107.08791666666667;November
Córdoba;106.51958333333333;December
Jaén;106.04217391304347;January
Jaén;109.04565217391306;February
Jaén;133.81826086956522;March
Jaén;137.78130434782608;April
Jaén;152.36826086956523;May
Jaén;153.80565217391305;June
Jaén;166.17086956521737;July
Jaén;163.1804347826087;August
Jaén;143.94173913043477;September
Jaén;130.69956521739132;October
Jaén;103.02478260869566;November
Jaén;102.62652173913042;December
Región de Murcia;120.2325;January
Región de Murcia;117.3325;February
Región de Murcia;143.0225;March
Región de Murcia;146.9125;April
Región de Murcia;159.5;May
Región de Murcia;158.5025;June
Región de Murcia;164.525;July
Región de Murcia;160.5975;August
Región de Murcia;141.4725;September
Región de Murcia;132.2525;October
Región de Murcia;113.735;November
Región de Murcia;110.93;December
Huelva;112.77857142857144;January
Huelva;114.72357142857143;February
Huelva;137.84357142857144;March
Huelva;141.2692857142857;April
Huelva;155.20214285714286;May
Huelva;153.91142857142856;June
Huelva;167.23357142857142;July
Huelva;164.27714285714288;August
Huelva;144.51785714285714;September
Huelva;127.43928571428572;October
Huelva;107.87428571428572;November
Huelva;105.27928571428572;December
Badajoz;105.8372972972973;January
Badajoz;113.53432432432432;February
Badajoz;136.2718918918919;March
Badajoz;140.64000000000001;April
Badajoz;154.0854054054054;May
Badajoz;153.2745945945946;June
Badajoz;167.78756756756758;July
Badajoz;165.21054054054053;August
Badajoz;144.8981081081081;September
Badajoz;126.5854054054054;October
Badajoz;103.39108108108108;November
Badajoz;98.89702702702702;December
Albacete;114.09541666666667;January
Albacete;114.73958333333333;February
Albacete;139.16208333333333;March
Albacete;142.67958333333334;April
Albacete;154.51;May
Albacete;154.30875;June
